actor_id,display_name,country,actor_class,priority,platform,handle_or_domain,profile_url,verification_status,ingest_enabled
by_belarus1,Belarus 1,BY,state_media,normal,website,tvr.by/eng,https://www.tvr.by/eng/,official_primary,True
by_belta,BelTA,BY,state_media,critical,website,eng.belta.by,https://eng.belta.by/,official_primary,True
by_embassy_germany,Embassy of Belarus in Germany,BY,official_state_source,high,website,germany.mfa.gov.by/en,https://germany.mfa.gov.by/en/,official_primary,True
by_mfa,Belarus Ministry of Foreign Affairs,BY,official_state_source,critical,instagram,belarusmfa,https://www.instagram.com/belarusmfa/,official_primary,True
by_mfa,Belarus Ministry of Foreign Affairs,BY,official_state_source,critical,telegram,BelarusMFA,https://t.me/BelarusMFA,official_primary,True
by_mfa,Belarus Ministry of Foreign Affairs,BY,official_state_source,critical,website,mfa.gov.by/en,https://mfa.gov.by/en/,official_primary,True
by_mfa,Belarus Ministry of Foreign Affairs,BY,official_state_source,critical,x,BelarusMFA,https://x.com/BelarusMFA,official_primary,True
by_mfa,Belarus Ministry of Foreign Affairs,BY,official_state_source,critical,x,BelarusMID,https://x.com/BelarusMID,official_primary,True
by_mfa,Belarus Ministry of Foreign Affairs,BY,official_state_source,critical,youtube,BelarusMFA,https://www.youtube.com/user/BelarusMFA,official_primary,True
by_mod,Belarus Ministry of Defence,BY,official_state_source,high,website,mil.by/en,https://www.mil.by/en/,official_primary,True
by_ont,ONT,BY,state_media,normal,website,ont.by,https://ont.by/,official_primary,True
by_president,President of Belarus press service,BY,official_state_source,high,website,president.gov.by/en,https://president.gov.by/en,official_primary,True
by_sb,SB Belarus Today,BY,state_media,high,website,sb.by/en,https://www.sb.by/en/,official_primary,True
cn_belt_road_portal,Belt and Road Portal,CN,official_state_source,normal,website,eng.yidaiyilu.gov.cn,https://eng.yidaiyilu.gov.cn/,official_primary,True
cn_cctv,CCTV,CN,state_media,high,website,english.cctv.com,https://english.cctv.com/,official_primary,True
cn_cgtn,CGTN,CN,state_media,critical,instagram,cgtn,https://www.instagram.com/cgtn/,official_platform,True
cn_cgtn,CGTN,CN,state_media,critical,website,cgtn.com,https://www.cgtn.com/,official_primary,True
cn_cgtn,CGTN,CN,state_media,critical,x,CGTNOfficial,https://x.com/CGTNOfficial,official_platform,True
cn_china_coast_guard,China Coast Guard,CN,maritime_state_source,high,website,ccg.gov.cn,https://www.ccg.gov.cn/,official_primary,True
cn_china_daily,China Daily,CN,state_media,high,website,chinadaily.com.cn,https://www.chinadaily.com.cn/,official_primary,True
cn_china_daily,China Daily,CN,state_media,high,x,ChinaDaily,https://x.com/ChinaDaily,official_platform,True
cn_china_merchants_port,China Merchants Port,CN,maritime_state_corporate_source,normal,website,cmport.com.hk,https://www.cmport.com.hk/,official_primary,True
cn_china_military,China Military / PLA Daily,CN,military_state_media,high,website,eng.chinamil.com.cn,http://eng.chinamil.com.cn/,official_primary,True
cn_cosco,COSCO Shipping,CN,maritime_state_corporate_source,high,website,en.coscoshipping.com,https://en.coscoshipping.com/,official_primary,True
cn_embassy_germany,Embassy of China in Germany,CN,official_state_source,critical,website,de.china-embassy.gov.cn/det,http://de.china-embassy.gov.cn/det/,official_primary,True
cn_embassy_germany,Embassy of China in Germany,CN,official_state_source,critical,x,ChinaEmbGermany,https://x.com/ChinaEmbGermany,official_platform,True
cn_glassbridge,Glassbridge network,CN,known_fimi_infrastructure,high,pattern,coordinated content placement and syndication network,,research_attributed,True
cn_glassbridge,Glassbridge network,CN,known_fimi_infrastructure,high,website,recordedfuture.com/research/chinese-influence-operation-targets-us-elections,https://www.recordedfuture.com/research/chinese-influence-operation-targets-us-elections,research_attributed,True
cn_global_times,Global Times,CN,state_aligned_media,high,website,globaltimes.cn,https://www.globaltimes.cn/,official_primary,True
cn_global_times,Global Times,CN,state_aligned_media,high,x,globaltimesnews,https://x.com/globaltimesnews,official_platform,True
cn_hai_energy,HaiEnergy influence network,CN,known_fimi_infrastructure,high,website,mandiant.com/resources/blog/pro-prc-influence-campaign-hai-energy,https://www.mandiant.com/resources/blog/pro-prc-influence-campaign-hai-energy,research_attributed,True
cn_maritime_safety_admin,China Maritime Safety Administration,CN,maritime_state_source,high,website,msa.gov.cn,https://www.msa.gov.cn/,official_primary,True
cn_mfa,China MFA Spokesperson,CN,official_state_source,critical,instagram,mfa_china,https://www.instagram.com/mfa_china/,official_platform,True
cn_mfa,China MFA Spokesperson,CN,official_state_source,critical,website,mfa.gov.cn/eng,https://www.mfa.gov.cn/eng/,official_primary,True
cn_mfa,China MFA Spokesperson,CN,official_state_source,critical,x,MFA_China,https://x.com/MFA_China,official_platform,True
cn_paperwall,Paperwall network,CN,known_fimi_infrastructure,high,pattern,pseudo-local news domains with shared infrastructure,,research_attributed,True
