endpoint_id,actor_id,platform,handle_or_domain,profile_url,endpoint_type,verification_status,evidence_url,verified_at,priority,ingest_enabled,languages,collection_mode,public_export_policy,notes
by_belarus1__website__tvr_by_eng,by_belarus1,website,tvr.by/eng,https://www.tvr.by/eng/,website,official_primary,https://www.tvr.by/eng/,2026-07-18,normal,True,be|ru|en|de,metadata_text_hash_and_links,inherit,
by_belta__website__eng_belta_by,by_belta,website,eng.belta.by,https://eng.belta.by/,website,official_primary,https://eng.belta.by/,2026-07-18,critical,True,be|ru|en|de,metadata_text_hash_and_links,inherit,
by_embassy_germany__website__germany_mfa_gov_by_en,by_embassy_germany,website,germany.mfa.gov.by/en,https://germany.mfa.gov.by/en/,website,official_primary,https://germany.mfa.gov.by/en/,2026-07-18,high,True,be|ru|en|de,metadata_text_hash_and_links,inherit,
by_mfa__instagram__belarusmfa,by_mfa,instagram,belarusmfa,https://www.instagram.com/belarusmfa/,account,official_primary,https://mfa.gov.by/en/press/socialmedia/,2026-07-18,critical,True,ru|be|en,posts_and_metadata,inherit,
by_mfa__telegram__belarusmfa,by_mfa,telegram,BelarusMFA,https://t.me/BelarusMFA,account,official_primary,https://mfa.gov.by/en/press/socialmedia/,2026-07-18,critical,True,ru|be|en,posts_and_metadata,inherit,
by_mfa__website__mfa_gov_by_en,by_mfa,website,mfa.gov.by/en,https://mfa.gov.by/en/,website,official_primary,https://mfa.gov.by/en/,2026-07-18,critical,True,be|ru|en|de,metadata_text_hash_and_links,inherit,
by_mfa__x__belarusmfa,by_mfa,x,BelarusMFA,https://x.com/BelarusMFA,account,official_primary,https://mfa.gov.by/en/press/socialmedia/,2026-07-18,critical,True,ru|be|en,posts_and_metadata,inherit,
by_mfa__x__belarusmid,by_mfa,x,BelarusMID,https://x.com/BelarusMID,account,official_primary,https://mfa.gov.by/en/press/socialmedia/,2026-07-18,critical,True,ru|be|en,posts_and_metadata,inherit,
by_mfa__youtube__belarusmfa,by_mfa,youtube,BelarusMFA,https://www.youtube.com/user/BelarusMFA,account,official_primary,https://mfa.gov.by/en/press/socialmedia/,2026-07-18,critical,True,ru|be|en,posts_and_metadata,inherit,
by_mod__website__mil_by_en,by_mod,website,mil.by/en,https://www.mil.by/en/,website,official_primary,https://www.mil.by/en/,2026-07-18,high,True,be|ru|en|de,metadata_text_hash_and_links,inherit,
by_ont__website__ont_by,by_ont,website,ont.by,https://ont.by/,website,official_primary,https://ont.by/,2026-07-18,normal,True,be|ru|en|de,metadata_text_hash_and_links,inherit,
by_president__website__president_gov_by_en,by_president,website,president.gov.by/en,https://president.gov.by/en,website,official_primary,https://president.gov.by/en,2026-07-18,high,True,be|ru|en|de,metadata_text_hash_and_links,inherit,
by_sb__website__sb_by_en,by_sb,website,sb.by/en,https://www.sb.by/en/,website,official_primary,https://www.sb.by/en/,2026-07-18,high,True,be|ru|en|de,metadata_text_hash_and_links,inherit,
cn_belt_road_portal__website__eng_yidaiyilu_gov_cn,cn_belt_road_portal,website,eng.yidaiyilu.gov.cn,https://eng.yidaiyilu.gov.cn/,website,official_primary,https://eng.yidaiyilu.gov.cn/,2026-07-18,normal,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_cctv__website__english_cctv_com,cn_cctv,website,english.cctv.com,https://english.cctv.com/,website,official_primary,https://english.cctv.com/,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_cgtn__instagram__cgtn,cn_cgtn,instagram,cgtn,https://www.instagram.com/cgtn/,account,official_platform,https://www.instagram.com/cgtn/,2026-07-18,high,True,en|zh,posts_and_metadata,inherit,
cn_cgtn__website__cgtn_com,cn_cgtn,website,cgtn.com,https://www.cgtn.com/,website,official_primary,https://www.cgtn.com/,2026-07-18,critical,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_cgtn__x__cgtnofficial,cn_cgtn,x,CGTNOfficial,https://x.com/CGTNOfficial,account,official_platform,https://x.com/CGTNOfficial,2026-07-18,high,True,en|zh,posts_and_metadata,inherit,
cn_china_coast_guard__website__ccg_gov_cn,cn_china_coast_guard,website,ccg.gov.cn,https://www.ccg.gov.cn/,website,official_primary,https://www.ccg.gov.cn/,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_china_daily__website__chinadaily_com_cn,cn_china_daily,website,chinadaily.com.cn,https://www.chinadaily.com.cn/,website,official_primary,https://www.chinadaily.com.cn/,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_china_daily__x__chinadaily,cn_china_daily,x,ChinaDaily,https://x.com/ChinaDaily,account,official_platform,https://x.com/ChinaDaily,2026-07-18,high,True,en|zh,posts_and_metadata,inherit,
cn_china_merchants_port__website__cmport_com_hk,cn_china_merchants_port,website,cmport.com.hk,https://www.cmport.com.hk/,website,official_primary,https://www.cmport.com.hk/,2026-07-18,normal,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_china_military__website__eng_chinamil_com_cn,cn_china_military,website,eng.chinamil.com.cn,http://eng.chinamil.com.cn/,website,official_primary,http://eng.chinamil.com.cn/,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_cosco__website__en_coscoshipping_com,cn_cosco,website,en.coscoshipping.com,https://en.coscoshipping.com/,website,official_primary,https://en.coscoshipping.com/,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_embassy_germany__website__de_china_embassy_gov_cn_det,cn_embassy_germany,website,de.china-embassy.gov.cn/det,http://de.china-embassy.gov.cn/det/,website,official_primary,http://de.china-embassy.gov.cn/det/,2026-07-18,critical,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_embassy_germany__x__chinaembgermany,cn_embassy_germany,x,ChinaEmbGermany,https://x.com/ChinaEmbGermany,account,official_platform,https://x.com/ChinaEmbGermany,2026-07-18,high,True,en|zh,posts_and_metadata,inherit,
cn_glassbridge__pattern__coordinated_content_placement_and_syndication_network,cn_glassbridge,pattern,coordinated content placement and syndication network,,discovery_rule,research_attributed,,2026-07-18,critical,True,de|en|zh,dynamic_discovery,inherit,
cn_glassbridge__website__recordedfuture_com_research_chinese_influence_operation_targets_us_elections,cn_glassbridge,website,recordedfuture.com/research/chinese-influence-operation-targets-us-elections,https://www.recordedfuture.com/research/chinese-influence-operation-targets-us-elections,website_or_pattern_reference,research_attributed,https://www.recordedfuture.com/research/chinese-influence-operation-targets-us-elections,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_global_times__website__globaltimes_cn,cn_global_times,website,globaltimes.cn,https://www.globaltimes.cn/,website,official_primary,https://www.globaltimes.cn/,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_global_times__x__globaltimesnews,cn_global_times,x,globaltimesnews,https://x.com/globaltimesnews,account,official_platform,https://x.com/globaltimesnews,2026-07-18,high,True,en|zh,posts_and_metadata,inherit,
cn_hai_energy__website__mandiant_com_resources_blog_pro_prc_influence_campaign_hai_energy,cn_hai_energy,website,mandiant.com/resources/blog/pro-prc-influence-campaign-hai-energy,https://www.mandiant.com/resources/blog/pro-prc-influence-campaign-hai-energy,website_or_pattern_reference,research_attributed,https://www.mandiant.com/resources/blog/pro-prc-influence-campaign-hai-energy,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
